year,X0,Coordinates0,Latitude0,Longitude0,freq
1990,"'Sofia',Bulgaria",България,42.66396,23.28791,31
1990,"'Sofia',USSR",Sofia,53.76551,87.13656,1
1990,"'Southampton',United Kingdom","Southampton, Hampshire, England",50.90488212,-1.404303871,1
1990,"'Southwark',United Kingdom","Southwark, Greater London, England",51.50275633,-0.09679485,1
1990,"'Southwestern Romania',Romania",România,45.84585498,24.97347222,1
1990,"'Soviet',USSR",Soviet,-25.78204,28.27302,1
1990,"'Soweto',South Africa","Soweto, Orlando West, Johannesburg, Gauteng",-26.23139,27.91924,3
1990,"'Srinagar',India","Srinagar, Jammu & Kashmir",34.08443,74.79906,5
1990,"'Stendal',Germany East","Stendal, Sachsen-Anhalt",52.60623,11.86083,1
1990,"'Supreme Court',Chile",Supreme,-33.58598,-70.57963,1
1990,"'Suva',Yugoslavia",Yugoslavia,-17.41638,-66.1587,1
1990,"'Swindon',United Kingdom","Swindon, Wiltshire, England",51.56153339,-1.785446091,1
1990,"'Tabubil',Papua New Guinea",Papua New Guinea,-6.475589907,145.2538009,1
1990,"'Taipei',Taiwan",R.O.C,25.03692,121.49958,11
1990,"'Tashkent',USSR",Tashkent,41.25786,69.28119,1
1990,"'Tauton',United Kingdom","Taunton, Taunton Deane, Somerset, England",51.01340626,-3.108189252,1
1990,"'Taxco',Mexico","Taxco, Fracc Asentamientos Humanos, Río Bravo, Tamaulipas, 88993",25.98554893,-98.0784256,1
1990,"'Tbilisi',Georgia",Tbilisi,41.70907,44.7961,1
1990,"'Tbilisi',USSR",Tbilisi,51.54796,-0.10654,2
1990,"'Tehran',Iran",Tehrān,35.69439,51.42151,1
1990,"'Tembisa Township',South Africa","Tembisa, Ekurhuleni Metropolitan Municipality, Gauteng",-25.99636,28.2268,1
1990,"'Thabong',South Africa","Thabong, Lejweleputswa, Free State",-27.96803,26.79367,1
1990,"'Timosoara',Romania","Timișoara, Timiș",45.75345,21.22333,6
1990,"'Tirana',Albania",Albania,41.32146,19.81371,4
1990,"'Titograd',Yugoslavia","Yugoeslavia, Anzoátegui",8.19583,-64.5038,1
1990,"'Titova Mitrovica',Yugoslavia","Yugoeslavia, Anzoátegui",8.19583,-64.5038,1
1990,"'Tokyo',Japan",Tokyo,35.68945633,139.6917161,3
1990,"'Toulouse',France","Toulouse, Haute-Garonne, Occitanie",43.60579,1.44863,1
1990,"'Traiskirchen',Austria","Traiskirchen, Baden, Niederösterreich",48.01378,16.29471,1
1990,"'Transylvania',Romania",Transylvania Romanian Cuisine,46.5971623,24.3740295,1
1990,"'Trinidad',Bolivia",Trinidad,-14.83093,-64.89863,1
1990,"'Ukraine',USSR",Ukraine,48.87373,2.34516,1
1990,"'Ulan Bator',Mongolia",Ulan Bator,47.92218,106.9181,11
1990,"'Urosevac',Yugoslavia","Yugoeslavia, Anzoátegui",8.19583,-64.5038,1
1990,"'Ust Kamenogorsk',Kazakhstan","Ust-Kamenogorsk, Shigis Qazaqstan oblisi",49.96236,82.61865,1
